1.35477 8.35009 9.68868 
2.21034 3.08167 5.47221 
1.88382 9.92881 9.96461 
9.67695 7.25839 9.8111 
1.09862 7.98106 2.97029 
0.0478348 1.12465 6.39763 
8.78431 5.03663 7.97929 
3.61294 2.11924 6.8136 
3.98739 7.40647 4.74759 
4.22088 1.73865 3.01913 
7.9728 3.1655 8.72429 
1.49114 9.94068 8.21903 
1.25183 7.6375 4.90589 
6.63606 1.25897 2.10209 
0.512164 0.364413 4.08731 
4.57989 4.87569 7.93975 
9.20875 8.07531 7.05774 
0.0281843 7.10704 6.43961 
4.56033 7.73917 5.73755 
8.76757 8.08175 0.177739 
8.21246 8.20841 9.40074 
4.12667 4.23165 5.80957 
1.58058 7.61731 2.30156 
8.09735 9.88522 3.32448 
2.99832 0.135391 2.17238 
9.07365 8.48468 9.55018 
7.78898 9.8746 0.675954 
7.93598 5.94504 7.32799 
6.95233 6.7982 3.9232 
5.61557 2.08068 5.27371 
4.04209 3.52762 5.92824 
3.56345 9.64966 1.54438 
3.94908 3.87296 7.26955 
3.8857 9.27493 4.36118 
8.62678 6.2036 1.19547 
4.71957 3.4022 5.29842 
7.16101 9.88379 7.20493 
9.12577 5.05499 5.58269 
5.0319 4.62474 5.46592 
4.47584 8.54451 6.04231 
4.98544 9.79926 0.343173 
9.77002 3.63186 6.7952 
3.46233 8.55875 0.450595 
6.60119 7.49941 1.32996 
9.82361 0.953552 2.82673 
8.02111 0.77557 6.27384 
0.0809391 6.80287 5.33933 
4.38667 1.99551 1.38001 
3.82333 7.62421 0.404711 
2.52956 5.04771 8.22605 
9.81723 8.23455 3.01827 
0.479443 2.47848 5.44056 
8.87726 3.4384 0.332686 
1.62872 8.77364 2.10302 
2.72753 4.92442 2.2342 
4.90301 9.54943 6.51969 
7.57504 4.35246 5.52881 
0.531526 3.22511 4.04981 
9.08434 8.09137 2.58296 
1.29847 4.93327 3.785 
7.1847 2.87805 6.23436 
8.11874 3.12508 3.85711 
3.4393 8.15769 6.69285 
3.79419 4.58497 3.03614 
9.10565 4.88618 7.5579 
1.08062 3.9359 8.70187 
3.60861 9.17118 5.43806 
1.40144 1.99873 9.48925 
9.9011 2.40076 0.165206 
3.88615 7.79689 4.76638 
5.40138 0.184508 9.00183 
1.94495 8.85998 4.41223 
1.47829 2.39502 7.99653 
4.73015 0.898232 6.44551 
6.33064 5.84382 7.26654 
3.54638 6.80407 7.07322 
1.62329 1.33736 4.49556 
0.420541 7.97364 1.67556 
8.31214 3.24964 6.5578 
4.2019 7.81909 1.13193 
9.93535 1.81573 7.62931 
2.65921 2.44138 1.00738 
3.44328 2.81627 9.6864 
2.13773 6.05928 2.26551 
1.89906 4.01571 4.13291 
1.70152 2.99052 6.36469 
