1.22e-05 -0.775651 4.76e-05 -0.191036 0.000589 -0.191036
1.2e-05 -0.77596 6.15e-05 -0.341759 0.0004674 -0.341759
1.19e-05 -0.776649 5.9e-05 -0.688568 0.0004983 -0.688568
1.21e-05 -0.777849 7.27e-05 -2.65621 0.0004613 -2.65621
1.22e-05 -0.779395 5.96e-05 -5.86794 0.0004714 -5.86794
1.21e-05 -0.780926 5.84e-05 -6.00078 0.0004692 -6.00078
1.2e-05 -0.783131 5.88e-05 -6.00199 0.0005875 -6.00198
1.34e-05 -0.785545 5.71e-05 -5.98816 0.0004932 -5.98817
1.28e-05 -0.788225 7.03e-05 -5.89912 0.0004683 -5.89912
1.2e-05 -0.791315 6.33e-05 -5.82631 0.0004712 -5.82631
1.2e-05 -0.794817 5.74e-05 -5.69757 0.0004806 -5.69757
1.22e-05 -0.798686 6.01e-05 -5.53979 0.0004715 -5.53979
1.2e-05 -0.802833 5.86e-05 -5.43181 0.0004466 -5.43181
1.21e-05 -0.807162 5.93e-05 -5.26418 0.000478 -5.26418
1.24e-05 -0.812471 9.17e-05 -5.11639 0.0004804 -5.11639
1.2e-05 -0.817653 6.39e-05 -4.93636 0.0004664 -4.93636
1.21e-05 -0.823215 7.2e-05 -4.79207 0.0004812 -4.79207
1.28e-05 -0.829674 7.33e-05 -4.61171 0.0004788 -4.61171
1.19e-05 -0.836179 5.89e-05 -4.43907 0.0004706 -4.43907
1.24e-05 -0.842999 7.21e-05 -4.31551 0.0004567 -4.31551
1.21e-05 -0.849883 5.89e-05 -4.13694 0.0004566 -4.13694
1.2e-05 -0.85766 5.72e-05 -3.99272 0.0004855 -3.99272
1.26e-05 -0.86568 6.91e-05 -3.85314 0.0005012 -3.85314
1.19e-05 -0.873527 6.06e-05 -3.68582 0.0004684 -3.68582
1.23e-05 -0.881903 8.53e-05 -3.55782 0.0004633 -3.55782
1.2e-05 -0.890596 6.09e-05 -3.39016 0.0004837 -3.39016
1.2e-05 -0.899735 5.9e-05 -3.2556 0.0004686 -3.2556
1.19e-05 -0.908525 5.74e-05 -3.12672 0.0004541 -3.12672
1.21e-05 -0.917506 5.88e-05 -2.95084 0.0004731 -2.95084
1.2e-05 -0.926559 5.79e-05 -2.9271 0.000449 -2.9271
1.22e-05 -0.935136 6.31e-05 -2.80174 0.0004705 -2.80174
1.2e-05 -0.942883 5.88e-05 -2.68429 0.0004591 -2.68429
1.2e-05 -0.949854 5.76e-05 -2.60524 0.0004708 -2.60524
1.25e-05 -0.956053 6.18e-05 -2.59672 0.0004736 -2.59672
1.3e-05 -0.960735 0.0001 -2.42739 0.0004595 -2.42739
1.21e-05 -0.963599 5.68e-05 -2.37385 0.0004668 -2.37385
1.2e-05 -0.963373 6.11e-05 -2.36099 0.0004622 -2.36099
1.41e-05 -0.962378 5.81e-05 -2.32588 0.000487 -2.32588
1.19e-05 -0.95927 6.01e-05 -2.25645 0.0004711 -2.25645
1.2e-05 -0.954867 5.96e-05 -2.12378 0.000479 -2.12378
1.2e-05 -0.947203 5.76e-05 -2.09836 0.0004726 -2.09836
1.49e-05 -0.940897 5.79e-05 -1.91322 0.000439 -1.91322
1.2e-05 -0.933077 5.69e-05 -1.89022 0.0004776 -1.89022
1.2e-05 -0.927944 5.8e-05 -1.68498 0.0004692 -1.68498
1.21e-05 -0.928754 6.04e-05 -1.60303 0.000468 -1.60303
1.2e-05 -0.928879 5.97e-05 -1.36663 0.0004813 -1.36663
1.21e-05 -0.930016 5.94e-05 -1.27534 0.0004911 -1.27534
1.24e-05 -0.935146 6.21e-05 -1.40416 0.000473 -1.40416
1.2e-05 -0.940054 5.75e-05 -1.20531 0.0004666 -1.20531
1.22e-05 -0.947507 5.81e-05 -1.15499 0.0004671 -1.15499
1.19e-05 -0.956264 5.97e-05 -1.17008 0.0004855 -1.17008
1.19e-05 -0.963936 5.86e-05 -1.10585 0.0004543 -1.10585
1.25e-05 -0.980192 7.07e-05 -0.988079 0.0004564 -0.988078
1.2e-05 -0.99314 5.76e-05 -1.01889 0.0004511 -1.01889
1.2e-05 -1.00783 5.95e-05 -1.02734 0.0007634 -1.02734
1.25e-05 -1.02249 5.9e-05 -0.994224 0.0004751 -0.994224
1.2e-05 -1.03227 6.86e-05 -0.988898 0.0004757 -0.988898
1.19e-05 -1.03999 6.03e-05 -0.9615 0.0004735 -0.9615
1.23e-05 -1.04403 6.48e-05 -0.958129 0.0004727 -0.958129
1.24e-05 -1.04595 7.46e-05 -0.979569 0.0004886 -0.979569
1.2e-05 -1.05133 5.82e-05 -0.97841 0.0005627 -0.97841
1.29e-05 -1.06081 9.27e-05 -0.978463 0.0004599 -0.978463
1.31e-05 -1.07377 5.78e-05 -0.995848 0.0004663 -0.995848
1.24e-05 -1.08966 6.64e-05 -1.01525 0.0004818 -1.01525
1.33e-05 -1.10831 5.87e-05 -1.04976 0.0004825 -1.04976
1.2e-05 -1.1242 5.89e-05 -1.11522 0.0004922 -1.11522
1.22e-05 -1.14456 5.9e-05 -1.1425 0.0004662 -1.1425
1.21e-05 -1.15817 6.17e-05 -1.13419 0.0004758 -1.13419
1.2e-05 -1.17259 5.74e-05 -1.14561 0.000471 -1.14561
1.22e-05 -1.18222 5.93e-05 -1.15066 0.0006499 -1.15066
1.2e-05 -1.18757 5.68e-05 -1.16824 0.0005021 -1.16824
1.2e-05 -1.18984 5.86e-05 -1.1637 0.0004748 -1.1637
1.21e-05 -1.18804 5.82e-05 -1.16324 0.0006204 -1.16324
1.23e-05 -1.18562 6.01e-05 -1.14457 0.0004867 -1.14457
1.22e-05 -1.18251 5.64e-05 -1.1794 0.0004708 -1.1794
1.22e-05 -1.18095 5.79e-05 -1.15942 0.000494 -1.15942
1.2e-05 -1.18117 5.78e-05 -1.13881 0.0004503 -1.13881
1.21e-05 -1.18358 5.88e-05 -1.16395 0.0004896 -1.16395
1.21e-05 -1.18793 6.17e-05 -1.17555 0.0007224 -1.17555
1.35e-05 -1.19313 6.43e-05 -1.16687 0.0004755 -1.16687
1.21e-05 -1.19691 7.58e-05 -1.14394 0.0004463 -1.14394
1.22e-05 -1.20012 5.97e-05 -1.16634 0.0004824 -1.16634
1.22e-05 -1.19861 5.88e-05 -1.14628 0.0004829 -1.14628
1.22e-05 -1.20237 5.62e-05 -1.16635 0.0004649 -1.16635
1.2e-05 -1.20504 5.78e-05 -1.17937 0.0005337 -1.17936
1.22e-05 -1.20337 5.9e-05 -1.13292 0.0005576 -1.13292
1.21e-05 -1.20276 5.74e-05 -1.16488 0.0004907 -1.16488
1.2e-05 -1.1992 5.86e-05 -1.15998 0.0005492 -1.15998
1.23e-05 -1.19354 6.63e-05 -1.15073 0.0004783 -1.15073
1.24e-05 -1.18967 6.02e-05 -1.12852 0.0005042 -1.12852
1.22e-05 -1.18638 5.94e-05 -1.14258 0.0006052 -1.14258
1.21e-05 -1.18896 5.81e-05 -1.16001 0.0004794 -1.16001
1.23e-05 -1.19381 6e-05 -1.15589 0.0004712 -1.15589
1.2e-05 -1.19933 5.8e-05 -1.18599 0.0004615 -1.18599
1.22e-05 -1.20999 5.79e-05 -1.18607 0.0004641 -1.18607
1.37e-05 -1.22149 7.23e-05 -1.18467 0.0004841 -1.18467
1.23e-05 -1.23792 5.85e-05 -1.18343 0.0006681 -1.18343
1.19e-05 -1.25093 6.99e-05 -1.19353 0.0005157 -1.19353
1.2e-05 -1.26182 5.7e-05 -1.1933 0.0005162 -1.1933
1.2e-05 -1.2724 5.85e-05 -1.21033 0.0005967 -1.21033
1.64e-05 -1.27772 6.44e-05 -1.21491 0.0005436 -1.21491
1.19e-05 -1.28184 5.8e-05 -1.21963 0.0004701 -1.21963
1.19e-05 -1.281 5.77e-05 -1.22434 0.0004783 -1.22433
1.19e-05 -1.27956 5.89e-05 -1.23844 0.0004856 -1.23844
1.2e-05 -1.27418 5.7e-05 -1.23703 0.0004715 -1.23703
1.2e-05 -1.26402 5.9e-05 -1.21603 0.0004654 -1.21603
1.2e-05 -1.25671 5.74e-05 -1.21842 0.0004783 -1.21842
1.21e-05 -1.24949 6.03e-05 -1.21786 0.0004731 -1.21786
1.23e-05 -1.24662 5.85e-05 -1.20822 0.0005074 -1.20822
1.26e-05 -1.25033 6.48e-05 -1.20677 0.0004807 -1.20677
1.19e-05 -1.25606 5.84e-05 -1.22518 0.0005719 -1.22518
