# Average Pressure: -2.0263951363799997
# Average Potential Energy per Particle: -1.0135527205
# r	g(r)
0.002862	0.000000
0.008585	0.000000
0.014309	0.000000
0.020033	0.000000
0.025756	0.000000
0.031480	0.000000
0.037203	0.000000
0.042927	0.000000
0.048650	0.000000
0.054374	0.000000
0.060097	0.000000
0.065821	0.000000
0.071545	0.000000
0.077268	0.000000
0.082992	0.000000
0.088715	0.000000
0.094439	0.000000
0.100162	0.000000
0.105886	0.000000
0.111610	0.000000
0.117333	0.000000
0.123057	0.000000
0.128780	0.000000
0.134504	0.000000
0.140227	0.000000
0.145951	0.000000
0.151675	0.000000
0.157398	0.000000
0.163122	0.000000
0.168845	0.000000
0.174569	0.000000
0.180292	0.000000
0.186016	0.000000
0.191740	0.000000
0.197463	0.000000
0.203187	0.000000
0.208910	0.000000
0.214634	0.000000
0.220357	0.000000
0.226081	0.000000
0.231805	0.000000
0.237528	0.000000
0.243252	0.000000
0.248975	0.000000
0.254699	0.000000
0.260422	0.000000
0.266146	0.000000
0.271870	0.000000
0.277593	0.000000
0.283317	0.000000
0.289040	0.000000
0.294764	0.000000
0.300487	0.000000
0.306211	0.000000
0.311935	0.000000
0.317658	0.000000
0.323382	0.000000
0.329105	0.000000
0.334829	0.000000
0.340552	0.000000
0.346276	0.000000
0.352000	0.000000
0.357723	0.000000
0.363447	0.000000
0.369170	0.000000
0.374894	0.000000
0.380617	0.000000
0.386341	0.000000
0.392065	0.000000
0.397788	0.000000
0.403512	0.000000
0.409235	0.000000
0.414959	0.000000
0.420682	0.000000
0.426406	0.000000
0.432130	0.000000
0.437853	0.000000
0.443577	0.000000
0.449300	0.000000
0.455024	0.000000
0.460747	0.000000
0.466471	0.000000
0.472195	0.000000
0.477918	0.000000
0.483642	0.000000
0.489365	0.000000
0.495089	0.000000
0.500812	0.000000
0.506536	0.000000
0.512260	0.000000
0.517983	0.000000
0.523707	0.000000
0.529430	0.000000
0.535154	0.000000
0.540877	0.000000
0.546601	0.000000
0.552325	0.000000
0.558048	0.000000
0.563772	0.000000
0.569495	0.000000
0.575219	0.000000
0.580942	0.000000
0.586666	0.000000
0.592390	0.000000
0.598113	0.000000
0.603837	0.000000
0.609560	0.000000
0.615284	0.000000
0.621007	0.000000
0.626731	0.000000
0.632455	0.000000
0.638178	0.000000
0.643902	0.000000
0.649625	0.000000
0.655349	0.000000
0.661072	0.000000
0.666796	0.000000
0.672520	0.000000
0.678243	0.000000
0.683967	0.000000
0.689690	0.000000
0.695414	0.000000
0.701137	0.000000
0.706861	0.000000
0.712585	0.000000
0.718308	0.000000
0.724032	0.000000
0.729755	0.000000
0.735479	0.000000
0.741202	0.000000
0.746926	0.000000
0.752650	0.000000
0.758373	0.000000
0.764097	0.000000
0.769820	0.000000
0.775544	0.000000
0.781267	0.000000
0.786991	0.000187
0.792715	0.000000
0.798438	0.000545
0.804162	0.000358
0.809885	0.001766
0.815609	0.002090
0.821332	0.003092
0.827056	0.006098
0.832780	0.010358
0.838503	0.016149
0.844227	0.025522
0.849950	0.036246
0.855674	0.046523
0.861397	0.070422
0.867121	0.092455
0.872845	0.120902
0.878568	0.145300
0.884292	0.184319
0.890015	0.216036
0.895739	0.266713
0.901462	0.320652
0.907186	0.348718
0.912910	0.406224
0.918633	0.464608
0.924357	0.517044
0.930080	0.575257
0.935804	0.640878
0.941527	0.684737
0.947251	0.719872
0.952975	0.792008
0.958698	0.837164
0.964422	0.861638
0.970145	0.913297
0.975869	0.966245
0.981592	1.018622
0.987316	1.037394
0.993040	1.082217
0.998763	1.113172
1.004490	1.134053
1.010210	1.181524
1.015930	1.169708
1.021660	1.209808
1.027380	1.221943
1.033100	1.255012
1.038830	1.266341
1.044550	1.260573
1.050280	1.276596
1.056000	1.291057
1.061720	1.296909
1.067450	1.298087
1.073170	1.317778
1.078890	1.326527
1.084620	1.300549
1.090340	1.330885
1.096060	1.311040
1.101790	1.325897
1.107510	1.313362
1.113230	1.306250
1.118960	1.315684
1.124680	1.298662
1.130410	1.311749
1.136130	1.285282
1.141850	1.286559
1.147580	1.300416
1.153300	1.279786
1.159020	1.284082
1.164750	1.254157
1.170470	1.274734
1.176190	1.256663
1.181920	1.276288
1.187640	1.260320
1.193360	1.255094
1.199090	1.251601
1.204810	1.247560
1.210540	1.234211
1.216260	1.231159
1.221980	1.230671
1.227710	1.219299
1.233430	1.219205
1.239150	1.197177
1.244880	1.196512
1.250600	1.194844
1.256320	1.199911
1.262050	1.192689
1.267770	1.193048
1.273490	1.183846
1.279220	1.172073
1.284940	1.170707
1.290670	1.169527
1.296390	1.161018
1.302110	1.173313
1.307840	1.150197
1.313560	1.142479
1.319280	1.151692
1.325010	1.137079
1.330730	1.119269
1.336450	1.124753
1.342180	1.124507
1.347900	1.113384
1.353620	1.109489
1.359350	1.115026
1.365070	1.109736
1.370800	1.111032
1.376520	1.099426
1.382240	1.098953
1.387970	1.095262
1.393690	1.094157
1.399410	1.090017
1.405140	1.090604
1.410860	1.081015
1.416580	1.087194
1.422310	1.074911
1.428030	1.078243
1.433750	1.073088
1.439480	1.062001
1.445200	1.076072
1.450930	1.069965
1.456650	1.070585
1.462370	1.058265
1.468100	1.054974
1.473820	1.047864
1.479540	1.047129
1.485270	1.042068
1.490990	1.043881
1.496710	1.050858
1.502440	1.041380
1.508160	1.036954
1.513880	1.046670
1.519610	1.034938
1.525330	1.022106
1.531060	1.035189
1.536780	1.023175
1.542500	1.015741
1.548230	1.015978
1.553950	1.012539
1.559670	1.015694
1.565400	1.018069
1.571120	1.010993
1.576840	1.014523
1.582570	1.021540
1.588290	1.011802
1.594010	0.998348
1.599740	1.011952
1.605460	1.005333
1.611190	1.000705
1.616910	1.009453
1.622630	1.009958
1.628360	1.010429
1.634080	1.019069
1.639800	1.007574
1.645530	1.017349
1.651250	1.012264
1.656970	1.013805
1.662700	0.991835
1.668420	0.996365
1.674140	0.997954
1.679870	0.998146
1.685590	0.995048
1.691320	1.002623
1.697040	0.992733
1.702760	0.992904
1.708490	0.989796
1.714210	0.987574
1.719930	0.987396
1.725660	0.975799
1.731380	0.988799
1.737100	0.991931
1.742830	0.988860
1.748550	0.990848
1.754270	0.981719
1.760000	0.984509
1.765720	0.979512
1.771450	0.981278
1.777170	0.994961
1.782890	0.993830
1.788620	0.982663
1.794340	0.989072
1.800060	0.981828
1.805790	0.990464
1.811510	0.987746
1.817230	0.980236
1.822960	0.989886
1.828680	1.000917
1.834400	0.985281
1.840130	0.996509
1.845850	0.991733
1.851580	0.977299
1.857300	0.983408
1.863020	0.993599
1.868750	0.983175
1.874470	0.982127
1.880190	0.982286
1.885920	0.979101
1.891640	0.985749
1.897360	0.978426
1.903090	0.983235
1.908810	0.988795
1.914530	0.984473
1.920260	0.990899
1.925980	0.986891
1.931710	0.999650
1.937430	0.987795
1.943150	0.985023
1.948880	1.000113
1.954600	0.987014
1.960320	0.990607
1.966050	0.989373
1.971770	0.988732
1.977490	0.992913
1.983220	0.998738
1.988940	0.995752
1.994660	0.990920
2.000390	0.998083
2.006110	0.990669
2.011840	1.001758
2.017560	1.009005
2.023280	1.011851
2.029010	1.002661
2.034730	0.998009
2.040450	1.001349
2.046180	0.998025
2.051900	1.000335
2.057620	1.001209
2.063350	1.000016
2.069070	0.996034
2.074790	1.002038
2.080520	1.006302
2.086240	1.011915
2.091970	1.004507
2.097690	1.010117
2.103410	1.005101
2.109140	1.003323
2.114860	1.004144
2.120580	1.003522
2.126310	1.011889
2.132030	1.004525
2.137750	1.019640
2.143480	1.012234
2.149200	0.994133
2.154920	1.003929
2.160650	1.009165
2.166370	1.007223
2.172100	1.014519
2.177820	1.009902
2.183540	1.006922
2.189270	1.009836
2.194990	1.013209
2.200710	0.998137
2.206440	1.012386
2.212160	1.005141
2.217880	1.012844
2.223610	1.005481
2.229330	1.017949
2.235050	1.001725
2.240780	1.007946
2.246500	1.009013
2.252230	1.012822
2.257950	1.015307
2.263670	1.010043
2.269400	1.012964
2.275120	1.001719
2.280840	1.009749
2.286570	1.002283
2.292290	1.015365
2.298010	1.005641
2.303740	1.015604
2.309460	1.014662
2.315180	1.006322
2.320910	1.017216
2.326630	1.007274
2.332360	1.015775
2.338080	1.013203
2.343800	1.006531
2.349530	1.008560
2.355250	1.009345
2.360970	1.004727
2.366700	1.016565
2.372420	1.006562
2.378140	1.007725
2.383870	1.006460
2.389590	1.011728
2.395310	1.009686
2.401040	1.010323
2.406760	1.009726
2.412490	1.007389
2.418210	1.004290
2.423930	1.008998
2.429660	1.002307
2.435380	0.992953
2.441100	1.004595
2.446830	1.002977
2.452550	1.004812
2.458270	0.998338
2.464000	0.997883
2.469720	1.004832
2.475440	1.004008
2.481170	1.005198
2.486890	1.001532
2.492620	1.001489
2.498340	0.998874
2.504060	0.995493
2.509790	0.993221
2.515510	0.995553
2.521230	0.999916
2.526960	0.996262
2.532680	1.001808
2.538400	0.999345
2.544130	1.004735
2.549850	0.997216
2.555570	0.991762
2.561300	0.997806
2.567020	1.001047
2.572750	1.000431
2.578470	0.994513
2.584190	0.999620
2.589920	0.996451
2.595640	0.995741
2.601360	0.999394
2.607090	1.003585
2.612810	0.997699
2.618530	0.994594
2.624260	0.999882
2.629980	0.990728
2.635700	0.987047
2.641430	0.998865
2.647150	1.008869
2.652880	0.996108
2.658600	0.997250
2.664320	1.000706
2.670050	1.003343
2.675770	0.995060
2.681490	0.997873
2.687220	0.997814
2.692940	0.994872
2.698660	1.002015
2.704390	0.999758
2.710110	0.992748
2.715830	0.995919
2.721560	0.999791
2.727280	0.989602
2.733010	1.003192
2.738730	1.000191
2.744450	0.996471
2.750180	0.997490
2.755900	1.002108
2.761620	0.998246
2.767350	0.992457
2.773070	0.998550
2.778790	0.996915
2.784520	0.996827
2.790240	0.997950
2.795960	0.993438
2.801690	0.995731
2.807410	1.000995
2.813140	0.999825
2.818860	1.001150
2.824580	1.001119
2.830310	1.004783
2.836030	0.992679
2.841750	1.006030
2.847480	0.995273
2.853200	1.007140
2.858920	0.991359
2.864650	0.990225
2.870370	0.996491
2.876090	1.006086
2.881820	0.997141
2.887540	0.994692
2.893270	0.989031
2.898990	0.993443
2.904710	0.995327
2.910440	1.000717
2.916160	1.005335
2.921880	0.997790
2.927610	0.993987
2.933330	0.999510
2.939050	0.996614
2.944780	0.999411
2.950500	0.993806
2.956220	0.997585
2.961950	0.997987
2.967670	0.986998
2.973400	0.997185
2.979120	1.005888
2.984840	1.000032
2.990570	0.994483
2.996290	0.996613
3.002010	0.993318
3.007740	0.995200
3.013460	1.001504
3.019180	0.996846
3.024910	0.996103
3.030630	0.991399
3.036350	1.002117
3.042080	0.994430
3.047800	0.989839
3.053530	1.000298
3.059250	0.989390
3.064970	1.006172
3.070700	0.992483
3.076420	0.998037
3.082140	0.994724
3.087870	0.994151
3.093590	0.998769
3.099310	0.998617
3.105040	0.999157
3.110760	0.995459
3.116480	0.999775
3.122210	0.998348
3.127930	0.992886
3.133660	0.998488
3.139380	0.998813
3.145100	1.001658
3.150830	0.997742
3.156550	0.995231
3.162270	0.999674
3.168000	0.996399
3.173720	0.995339
3.179440	1.003094
3.185170	0.993360
3.190890	0.998903
3.196610	0.999479
3.202340	0.997728
3.208060	0.995804
3.213790	0.993572
3.219510	1.003579
3.225230	0.997771
3.230960	0.996725
3.236680	0.998324
3.242400	0.997293
3.248130	1.002501
3.253850	1.004525
3.259570	1.002898
3.265300	1.002178
3.271020	1.007727
3.276740	0.996440
3.282470	0.998452
3.288190	1.000519
3.293920	1.005973
3.299640	1.006987
3.305360	1.002824
3.311090	1.004232
3.316810	1.001970
3.322530	0.998752
3.328260	1.000225
3.333980	1.006070
3.339700	1.000683
3.345430	0.997571
3.351150	0.998150
3.356870	1.001864
3.362600	0.996284
3.368320	0.998109
3.374050	1.000722
3.379770	0.999576
3.385490	0.998322
3.391220	0.991670
3.396940	0.998562
3.402660	1.004923
3.408390	0.999267
3.414110	0.999248
3.419830	0.997730
3.425560	0.993776
3.431280	0.993849
3.437000	0.996877
3.442730	0.996880
3.448450	0.996876
3.454180	0.993351
3.459900	0.997656
3.465620	0.994248
3.471350	0.994971
3.477070	0.998398
3.482790	0.994651
3.488520	0.993503
3.494240	0.997321
3.499960	1.000540
3.505690	0.998371
3.511410	1.000041
3.517130	0.995206
3.522860	0.997913
3.528580	0.997488
3.534310	0.996227
3.540030	1.001347
3.545750	0.994680
3.551480	0.996970
3.557200	0.996135
3.562920	1.001161
3.568650	0.999034
3.574370	1.003655
3.580090	0.995259
3.585820	0.998184
3.591540	0.999946
3.597260	0.995692
3.602990	0.995726
3.608710	0.998353
3.614440	1.002893
3.620160	0.998892
3.625880	1.002457
3.631610	1.000768
3.637330	1.004188
3.643050	1.006342
3.648780	1.005425
3.654500	1.008507
3.660220	1.011789
3.665950	1.010477
3.671670	1.008996
3.677390	1.004839
3.683120	1.004050
3.688840	1.000809
3.694570	1.002964
3.700290	1.002462
3.706010	1.000591
3.711740	0.998450
3.717460	1.009840
3.723180	1.010908
3.728910	0.998200
3.734630	1.006124
3.740350	1.004513
3.746080	1.003221
3.751800	1.005159
3.757520	0.999629
3.763250	0.996681
3.768970	1.003933
3.774700	1.000663
3.780420	0.999970
3.786140	1.000078
3.791870	1.003369
3.797590	1.002509
3.803310	0.996721
3.809040	0.999223
3.814760	1.000136
3.820480	0.999221
3.826210	1.001229
3.831930	0.998886
3.837650	0.997781
3.843380	0.997275
3.849100	0.997252
3.854830	0.998659
3.860550	1.004282
3.866270	0.999435
3.872000	0.995833
3.877720	1.004477
3.883440	1.003807
3.889170	1.001170
3.894890	0.999588
3.900610	0.998332
3.906340	0.996783
3.912060	1.000690
3.917780	0.999520
3.923510	0.999789
3.929230	0.997651
3.934960	1.000955
3.940680	1.001563
3.946400	1.003548
3.952130	0.997001
3.957850	0.998040
3.963570	1.001332
3.969300	1.003182
3.975020	0.999988
3.980740	0.999417
3.986470	1.009847
3.992190	0.996434
3.997910	1.004116
4.003640	1.000691
4.009360	1.005376
4.015090	1.004200
4.020810	1.005693
4.026530	1.000835
4.032260	1.003469
4.037980	0.999873
4.043700	0.999878
4.049430	1.004141
4.055150	1.000420
4.060870	1.002654
4.066600	1.000156
4.072320	0.998611
4.078040	0.999614
4.083770	0.995793
4.089490	0.996727
4.095220	1.000658
4.100940	0.997557
4.106660	1.001752
4.112390	0.996862
4.118110	0.996108
4.123830	0.993209
4.129560	0.996348
4.135280	0.995102
4.141000	0.990090
4.146730	0.995162
4.152450	0.993475
4.158170	0.995131
4.163900	0.999329
4.169620	0.994760
4.175350	0.994054
4.181070	0.996610
4.186790	0.998059
4.192520	0.997418
4.198240	1.000012
4.203960	0.997690
4.209690	0.994966
4.215410	0.997339
4.221130	0.999429
4.226860	0.993156
4.232580	0.996133
4.238300	0.996814
4.244030	0.999114
4.249750	0.996207
4.255480	0.993542
4.261200	0.995948
4.266920	0.994760
4.272650	0.993176
4.278370	0.999300
4.284090	0.996127
4.289820	0.995988
4.295540	0.997041
4.301260	0.998471
4.306990	0.996614
4.312710	0.996879
4.318430	0.996798
4.324160	0.991174
4.329880	0.991675
4.335610	0.992499
4.341330	0.994770
4.347050	0.992858
4.352780	0.995960
4.358500	0.993133
4.364220	0.997252
4.369950	0.993567
4.375670	0.991206
4.381390	0.993036
4.387120	0.994685
4.392840	0.995102
4.398560	0.999239
4.404290	0.996703
4.410010	0.991844
4.415740	0.997021
4.421460	0.994246
4.427180	0.994071
4.432910	0.995851
4.438630	0.996413
4.444350	0.994822
4.450080	0.999034
4.455800	0.991444
4.461520	0.997016
4.467250	0.993256
4.472970	0.989847
4.478690	0.993868
4.484420	0.995412
4.490140	0.993342
4.495870	0.990378
4.501590	0.995237
4.507310	0.997034
4.513040	0.993807
4.518760	0.991257
4.524480	0.994518
4.530210	0.995202
4.535930	0.993025
4.541650	0.994916
4.547380	0.996973
4.553100	0.997403
4.558820	0.996740
4.564550	0.995826
4.570270	0.995452
4.576000	0.991310
4.581720	0.995336
4.587440	0.997848
4.593170	0.990743
4.598890	0.995756
4.604610	0.991173
4.610340	0.993309
4.616060	0.994301
4.621780	0.997887
4.627510	0.997503
4.633230	0.991386
4.638950	0.995757
4.644680	1.002139
4.650400	0.995213
4.656130	0.994760
4.661850	0.992911
4.667570	0.998603
4.673300	0.997781
4.679020	0.998681
4.684740	0.994918
4.690470	0.999258
4.696190	0.997780
4.701910	0.996552
4.707640	0.997178
4.713360	0.999285
4.719080	0.999563
4.724810	1.000330
4.730530	1.000285
4.736260	0.998856
4.741980	0.995632
4.747700	0.996796
4.753430	0.998304
4.759150	1.000719
4.764870	0.995371
4.770600	0.993661
4.776320	0.996360
4.782040	0.994630
4.787770	0.993820
