# Average Pressure: -0.20732540620214998
# Average Potential Energy per Particle: -1.16619399625
# r	g(r)
0.002862	0.000000
0.008585	0.000000
0.014309	0.000000
0.020033	0.000000
0.025756	0.000000
0.031480	0.000000
0.037203	0.000000
0.042927	0.000000
0.048650	0.000000
0.054374	0.000000
0.060097	0.000000
0.065821	0.000000
0.071545	0.000000
0.077268	0.000000
0.082992	0.000000
0.088715	0.000000
0.094439	0.000000
0.100162	0.000000
0.105886	0.000000
0.111610	0.000000
0.117333	0.000000
0.123057	0.000000
0.128780	0.000000
0.134504	0.000000
0.140227	0.000000
0.145951	0.000000
0.151675	0.000000
0.157398	0.000000
0.163122	0.000000
0.168845	0.000000
0.174569	0.000000
0.180292	0.000000
0.186016	0.000000
0.191740	0.000000
0.197463	0.000000
0.203187	0.000000
0.208910	0.000000
0.214634	0.000000
0.220357	0.000000
0.226081	0.000000
0.231805	0.000000
0.237528	0.000000
0.243252	0.000000
0.248975	0.000000
0.254699	0.000000
0.260422	0.000000
0.266146	0.000000
0.271870	0.000000
0.277593	0.000000
0.283317	0.000000
0.289040	0.000000
0.294764	0.000000
0.300487	0.000000
0.306211	0.000000
0.311935	0.000000
0.317658	0.000000
0.323382	0.000000
0.329105	0.000000
0.334829	0.000000
0.340552	0.000000
0.346276	0.000000
0.352000	0.000000
0.357723	0.000000
0.363447	0.000000
0.369170	0.000000
0.374894	0.000000
0.380617	0.000000
0.386341	0.000000
0.392065	0.000000
0.397788	0.000000
0.403512	0.000000
0.409235	0.000000
0.414959	0.000000
0.420682	0.000000
0.426406	0.000000
0.432130	0.000000
0.437853	0.000000
0.443577	0.000000
0.449300	0.000000
0.455024	0.000000
0.460747	0.000000
0.466471	0.000000
0.472195	0.000000
0.477918	0.000000
0.483642	0.000000
0.489365	0.000000
0.495089	0.000000
0.500812	0.000000
0.506536	0.000000
0.512260	0.000000
0.517983	0.000000
0.523707	0.000000
0.529430	0.000000
0.535154	0.000000
0.540877	0.000000
0.546601	0.000000
0.552325	0.000000
0.558048	0.000000
0.563772	0.000000
0.569495	0.000000
0.575219	0.000000
0.580942	0.000000
0.586666	0.000000
0.592390	0.000000
0.598113	0.000000
0.603837	0.000000
0.609560	0.000000
0.615284	0.000000
0.621007	0.000000
0.626731	0.000000
0.632455	0.000000
0.638178	0.000000
0.643902	0.000000
0.649625	0.000000
0.655349	0.000000
0.661072	0.000000
0.666796	0.000000
0.672520	0.000000
0.678243	0.000000
0.683967	0.000000
0.689690	0.000000
0.695414	0.000000
0.701137	0.000000
0.706861	0.000000
0.712585	0.000000
0.718308	0.000000
0.724032	0.000000
0.729755	0.000000
0.735479	0.000000
0.741202	0.000000
0.746926	0.000000
0.752650	0.000000
0.758373	0.000000
0.764097	0.000000
0.769820	0.000000
0.775544	0.000000
0.781267	0.000000
0.786991	0.000000
0.792715	0.000000
0.798438	0.000000
0.804162	0.000000
0.809885	0.000000
0.815609	0.000000
0.821332	0.000000
0.827056	0.000508
0.832780	0.000334
0.838503	0.000989
0.844227	0.001138
0.849950	0.004491
0.855674	0.007912
0.861397	0.012023
0.867121	0.019262
0.872845	0.023268
0.878568	0.037976
0.884292	0.055118
0.890015	0.071086
0.895739	0.099638
0.901462	0.128603
0.907186	0.171191
0.912910	0.212148
0.918633	0.256605
0.924357	0.301846
0.930080	0.354530
0.935804	0.413051
0.941527	0.470912
0.947251	0.561952
0.952975	0.614674
0.958698	0.679337
0.964422	0.751270
0.970145	0.819124
0.975869	0.853828
0.981592	0.911601
0.987316	0.971190
0.993040	1.039332
0.998763	1.066480
1.004490	1.106379
1.010210	1.159840
1.015930	1.230551
1.021660	1.235339
1.027380	1.258606
1.033100	1.308855
1.038830	1.320667
1.044550	1.350728
1.050280	1.383836
1.056000	1.418749
1.061720	1.403906
1.067450	1.416345
1.073170	1.447956
1.078890	1.433131
1.084620	1.439714
1.090340	1.444326
1.096060	1.457729
1.101790	1.421054
1.107510	1.433987
1.113230	1.424890
1.118960	1.448289
1.124680	1.421035
1.130410	1.423276
1.136130	1.441196
1.141850	1.421098
1.147580	1.422267
1.153300	1.413235
1.159020	1.394309
1.164750	1.398489
1.170470	1.391188
1.176190	1.388904
1.181920	1.371753
1.187640	1.372281
1.193360	1.361020
1.199090	1.357808
1.204810	1.321392
1.210540	1.342610
1.216260	1.321935
1.221980	1.315788
1.227710	1.307160
1.233430	1.291402
1.239150	1.276858
1.244880	1.285854
1.250600	1.279741
1.256320	1.254893
1.262050	1.257430
1.267770	1.252953
1.273490	1.242356
1.279220	1.238203
1.284940	1.228530
1.290670	1.231081
1.296390	1.213619
1.302110	1.195863
1.307840	1.175870
1.313560	1.188946
1.319280	1.188172
1.325010	1.192778
1.330730	1.180705
1.336450	1.153230
1.342180	1.174674
1.347900	1.155983
1.353620	1.154574
1.359350	1.147882
1.365070	1.131374
1.370800	1.127680
1.376520	1.126208
1.382240	1.126606
1.387970	1.127859
1.393690	1.123326
1.399410	1.111493
1.405140	1.105685
1.410860	1.096498
1.416580	1.113522
1.422310	1.082184
1.428030	1.089606
1.433750	1.084248
1.439480	1.079670
1.445200	1.066087
1.450930	1.077340
1.456650	1.081069
1.462370	1.066392
1.468100	1.062285
1.473820	1.066586
1.479540	1.066924
1.485270	1.072268
1.490990	1.060663
1.496710	1.064823
1.502440	1.055136
1.508160	1.040622
1.513880	1.047783
1.519610	1.048986
1.525330	1.023799
1.531060	1.033162
1.536780	1.047950
1.542500	1.020805
1.548230	1.028401
1.553950	1.025638
1.559670	1.021171
1.565400	1.029416
1.571120	1.026671
1.576840	1.014756
1.582570	1.021910
1.588290	1.022044
1.594010	1.006237
1.599740	1.016977
1.605460	1.012840
1.611190	1.008694
1.616910	1.006750
1.622630	1.011718
1.628360	1.008157
1.634080	1.011259
1.639800	1.015330
1.645530	1.007593
1.651250	1.001896
1.656970	1.010556
1.662700	0.999001
1.668420	1.006188
1.674140	0.999608
1.679870	0.992234
1.685590	1.006833
1.691320	0.989338
1.697040	0.998848
1.702760	0.984033
1.708490	0.996385
1.714210	0.994119
1.719930	0.983127
1.725660	0.994786
1.731380	0.982808
1.737100	0.979183
1.742830	0.989356
1.748550	0.992705
1.754270	0.988232
1.760000	0.987576
1.765720	0.983748
1.771450	0.977069
1.777170	0.969832
1.782890	0.981546
1.788620	0.981903
1.794340	0.972482
1.800060	0.975177
1.805790	0.976998
1.811510	0.973588
1.817230	0.976026
1.822960	0.984133
1.828680	0.980267
1.834400	0.988276
1.840130	0.976868
1.845850	0.972690
1.851580	0.980780
1.857300	0.983543
1.863020	0.991997
1.868750	0.974582
1.874470	0.985722
1.880190	0.987956
1.885920	0.987441
1.891640	0.989440
1.897360	0.989755
1.903090	0.989345
1.908810	0.982021
1.914530	0.988266
1.920260	0.992438
1.925980	0.982706
1.931710	0.984125
1.937430	0.985696
1.943150	0.993737
1.948880	0.992303
1.954600	0.994505
1.960320	0.997722
1.966050	0.991531
1.971770	0.994335
1.977490	0.991847
1.983220	0.987662
1.988940	1.000702
1.994660	0.992842
2.000390	1.001876
2.006110	1.000429
2.011840	1.019306
2.017560	1.001206
2.023280	0.996200
2.029010	1.004293
2.034730	0.993279
2.040450	1.006442
2.046180	1.001926
2.051900	1.006665
2.057620	1.001811
2.063350	1.002792
2.069070	0.998902
2.074790	1.015899
2.080520	1.001886
2.086240	0.996023
2.091970	1.007895
2.097690	1.005325
2.103410	1.006384
2.109140	1.004704
2.114860	1.010491
2.120580	1.003650
2.126310	1.004355
2.132030	1.001237
2.137750	1.002780
2.143480	1.005677
2.149200	1.011064
2.154920	1.008845
2.160650	1.005765
2.166370	1.008013
2.172100	1.011277
2.177820	1.007899
2.183540	1.010106
2.189270	1.007080
2.194990	1.011791
2.200710	1.007276
2.206440	1.016884
2.212160	1.013640
2.217880	1.017390
2.223610	1.003185
2.229330	1.015897
2.235050	1.016383
2.240780	1.004669
2.246500	1.015533
2.252230	1.022621
2.257950	1.017602
2.263670	1.014972
2.269400	1.010197
2.275120	1.008613
2.280840	1.019815
2.286570	1.013563
2.292290	1.006148
2.298010	1.011214
2.303740	1.017504
2.309460	1.017985
2.315180	1.024112
2.320910	1.015925
2.326630	1.012389
2.332360	1.009684
2.338080	1.011041
2.343800	1.012099
2.349530	1.008560
2.355250	1.008593
2.360970	1.013374
2.366700	1.014910
2.372420	1.012141
2.378140	1.010757
2.383870	1.003932
2.389590	1.009902
2.395310	1.014795
2.401040	1.009479
2.406760	1.002885
2.412490	1.012944
2.418210	1.012076
2.423930	1.007776
2.429660	1.005997
2.435380	1.000396
2.441100	1.002592
2.446830	1.002145
2.452550	1.006295
2.458270	1.008078
2.464000	1.003856
2.469720	1.014691
2.475440	1.001872
2.481170	0.993266
2.486890	0.995968
2.492620	1.002123
2.498340	1.002549
2.504060	1.006155
2.509790	0.997249
2.515510	1.005129
2.521230	1.001629
2.526960	1.004082
2.532680	0.995974
2.538400	0.990409
2.544130	0.993959
2.549850	1.007588
2.555570	1.001910
2.561300	0.999025
2.567020	1.003086
2.572750	0.998400
2.578470	1.000560
2.584190	1.004513
2.589920	0.999232
2.595640	0.998940
2.601360	0.997921
2.607090	0.998557
2.612810	0.999362
2.618530	0.997433
2.624260	1.003029
2.629980	0.998668
2.635700	1.002274
2.641430	0.999945
2.647150	1.004256
2.652880	1.003582
2.658600	0.998070
2.664320	0.998894
2.670050	0.997379
2.675770	1.008168
2.681490	1.000161
2.687220	1.000574
2.692940	1.008165
2.698660	1.008872
2.704390	1.010831
2.710110	1.000194
2.715830	0.999956
2.721560	1.002966
2.727280	1.000210
2.733010	1.007380
2.738730	0.998183
2.744450	0.996348
2.750180	1.003632
2.755900	1.011399
2.761620	1.000191
2.767350	0.999795
2.773070	1.006821
2.778790	0.998686
2.784520	1.004657
2.790240	1.002459
2.795960	1.005636
2.801690	1.004204
2.807410	1.005184
2.813140	0.997131
2.818860	1.001879
2.824580	1.008365
2.830310	1.014546
2.836030	1.009922
2.841750	1.008928
2.847480	1.005847
2.853200	1.004976
2.858920	1.007987
2.864650	1.004062
2.870370	1.002144
2.876090	1.008971
2.881820	1.004996
2.887540	0.999083
2.893270	1.002152
2.898990	1.005465
2.904710	1.003319
2.910440	1.000922
2.916160	1.006684
2.921880	1.006638
2.927610	1.002950
2.933330	1.001113
2.939050	1.009973
2.944780	1.005597
2.950500	1.004906
2.956220	0.998288
2.961950	1.003969
2.967670	0.999101
2.973400	0.999688
2.979120	0.991789
2.984840	0.998341
2.990570	0.998486
2.996290	0.998910
3.002010	0.995967
3.007740	0.997492
3.013460	0.999017
3.019180	0.999820
3.024910	0.995698
3.030630	0.998904
3.036350	0.993697
3.042080	0.999326
3.047800	0.997822
3.053530	0.995340
3.059250	0.997264
3.064970	0.998155
3.070700	1.002375
3.076420	1.000130
3.082140	0.999347
3.087870	0.995487
3.093590	0.997074
3.099310	0.993925
3.105040	0.996837
3.110760	0.999350
3.116480	1.001588
3.122210	0.996340
3.127930	0.993324
3.133660	0.997474
3.139380	0.993088
3.145100	0.990706
3.150830	0.999738
3.156550	0.989313
3.162270	0.994646
3.168000	0.995672
3.173720	0.986723
3.179440	0.989959
3.185170	0.991499
3.190890	0.991848
3.196610	0.992109
3.202340	0.994237
3.208060	0.990186
3.213790	0.992484
3.219510	0.996537
3.225230	0.996546
3.230960	0.993206
3.236680	0.992020
3.242400	0.994086
3.248130	1.002073
3.253850	0.993823
3.259570	1.003095
3.265300	0.998331
3.271020	1.003103
3.276740	0.995760
3.282470	1.001269
3.288190	1.001119
3.293920	0.999704
3.299640	0.992344
3.305360	0.994149
3.311090	0.998652
3.316810	0.995146
3.322530	0.996548
3.328260	0.997976
3.333980	0.993260
3.339700	0.996196
3.345430	0.999559
3.351150	0.994838
3.356870	0.995767
3.362600	1.002545
3.368320	0.993677
3.374050	0.995073
3.379770	0.990964
3.385490	1.000617
3.391220	1.000616
3.396940	1.000821
3.402660	0.999870
3.408390	0.995517
3.414110	1.006465
3.419830	0.998948
3.425560	0.998091
3.431280	0.994469
3.437000	0.998770
3.442730	0.997203
3.448450	0.998835
3.454180	1.001004
3.459900	0.999349
3.465620	1.002650
3.471350	0.993856
3.477070	0.999510
3.482790	1.000468
3.488520	0.996302
3.494240	0.995765
3.499960	0.995073
3.505690	0.996467
3.511410	0.991932
3.517130	0.997763
3.522860	0.998679
3.528580	0.994557
3.534310	0.997693
3.540030	1.000099
3.545750	1.000209
3.551480	0.992588
3.557200	0.998131
3.562920	0.996816
3.568650	0.995877
3.574370	0.994459
3.580090	1.000457
3.585820	0.995806
3.591540	0.999830
3.597260	0.996095
3.602990	0.998342
3.608710	0.997811
3.614440	0.992224
3.620160	0.996284
3.625880	0.996897
3.631610	1.000733
3.637330	1.001350
3.643050	1.001323
3.648780	1.000178
3.654500	1.000196
3.660220	1.003712
3.665950	1.000864
3.671670	1.004166
3.677390	0.997548
3.683120	0.998284
3.688840	0.999974
3.694570	0.999348
3.700290	0.993018
3.706010	0.997065
3.711740	0.996297
3.717460	0.996753
3.723180	1.001003
3.728910	0.995325
3.734630	0.993697
3.740350	0.999155
3.746080	0.997004
3.751800	0.998476
3.757520	0.990577
3.763250	0.994726
3.768970	0.995744
3.774700	1.000801
3.780420	0.993533
3.786140	0.993297
3.791870	0.999977
3.797590	1.001392
3.803310	0.992773
3.809040	0.994975
3.814760	0.995558
3.820480	0.996649
3.826210	1.000113
3.831930	0.996235
3.837650	0.998379
3.843380	0.994286
3.849100	0.996774
3.854830	0.999914
3.860550	0.998833
3.866270	0.997738
3.872000	0.995563
3.877720	0.996386
3.883440	0.996301
3.889170	0.994115
3.894890	0.997587
3.900610	0.996824
3.906340	0.994999
3.912060	0.993762
3.917780	1.000848
3.923510	0.993444
3.929230	0.995167
3.934960	0.997603
3.940680	0.998527
3.946400	0.997872
3.952130	0.998165
3.957850	0.997049
3.963570	0.997431
3.969300	1.000417
3.975020	1.000105
3.980740	1.003081
3.986470	0.996054
3.992190	0.999066
3.997910	1.005914
4.003640	1.003409
4.009360	0.996237
4.015090	1.004904
4.020810	1.001199
4.026530	0.998191
4.032260	0.998331
4.037980	0.998033
4.043700	0.999538
4.049430	1.001421
4.055150	0.993523
4.060870	0.997434
4.066600	0.997634
4.072320	0.999464
4.078040	0.995886
4.083770	0.996231
4.089490	0.994469
4.095220	0.991380
4.100940	0.995766
4.106660	0.998571
4.112390	0.998314
4.118110	0.990089
4.123830	0.993720
4.129560	0.996626
4.135280	0.995976
4.141000	0.998597
4.146730	0.997844
4.152450	0.994503
4.158170	0.994501
4.163900	0.996515
4.169620	1.000651
4.175350	0.995756
4.181070	0.995165
4.186790	0.991964
4.192520	0.993951
4.198240	0.992419
4.203960	0.995048
4.209690	0.993319
4.215410	0.992520
4.221130	0.995261
4.226860	0.994868
4.232580	0.998526
4.238300	0.993951
4.244030	0.991440
4.249750	0.993917
4.255480	0.991725
4.261200	0.989919
4.266920	0.997675
4.272650	0.993830
4.278370	0.991641
4.284090	0.996063
4.289820	0.994036
4.295540	0.994265
4.301260	0.991194
4.306990	0.995520
4.312710	0.996182
4.318430	0.995170
4.324160	0.993064
4.329880	0.992998
4.335610	0.992468
4.341330	0.996460
4.347050	0.992681
4.352780	0.993300
4.358500	0.993487
4.364220	0.995531
4.369950	0.994326
4.375670	0.993076
4.381390	0.992155
4.387120	0.995040
4.392840	0.991572
4.398560	0.997856
4.404290	0.994481
4.410010	0.997009
4.415740	0.996653
4.421460	0.991988
4.427180	0.995129
4.432910	0.995208
4.438630	0.994631
4.444350	0.998423
4.450080	0.996073
4.455800	0.994053
4.461520	0.993628
4.467250	0.993250
4.472970	0.994618
4.478690	0.995855
4.484420	0.994583
4.490140	0.995054
4.495870	0.994368
4.501590	0.995203
4.507310	0.994622
4.513040	0.994183
4.518760	0.998985
4.524480	0.992928
4.530210	0.993491
4.535930	0.994703
4.541650	0.995157
4.547380	0.994833
4.553100	0.990064
4.558820	0.993847
4.564550	0.990960
4.570270	0.991869
4.576000	0.997955
4.581720	0.996308
4.587440	0.995128
4.593170	0.992632
4.598890	0.993998
4.604610	0.997594
4.610340	0.995980
4.616060	0.996927
4.621780	0.998429
4.627510	0.997590
4.633230	0.998527
4.638950	1.000108
4.644680	0.995915
4.650400	0.998979
4.656130	1.001734
4.661850	0.996861
4.667570	0.995024
4.673300	0.996126
4.679020	0.995707
4.684740	0.993535
4.690470	0.997610
4.696190	0.999713
4.701910	0.996222
4.707640	0.997999
4.713360	0.993856
4.719080	0.999506
4.724810	0.993718
4.730530	0.992244
4.736260	0.994414
4.741980	0.993953
4.747700	0.995517
4.753430	0.996843
4.759150	0.991091
4.764870	0.996075
4.770600	0.994211
4.776320	0.999220
4.782040	0.996439
4.787770	0.992223
